,Sentiment,Tweet
0,Positive,RT @illidan_storm: I'm sorry but if you see the footage minutes before Willian's goal you'll see 2 moments when Henderson could've kept the…
1,Negative,@illidan_storm Yes exactly this. Not sure why he had such difficulty in just clearing the ball away.
2,Negative,RT @illidan_storm: Henderson might even be a bigger problem than Lovren tbh.
3,Negative,RT @illidan_storm: Henderson might even be a bigger problem than Lovren tbh.
4,Negative,"@illidan_storm Yes fella , gutted any how"
